,pronoun,verb,preposition,location,delay,duration_frames,ID,age,gender,Scanner,Scan_day,onset,offset,duration_measured,response,key_t,rt,correct_resp,trial_nr
0,You ,stand ,into ,the house,240,90,female,,,Tuesday,Prisma,0.0005443700938485563,2.077146995346993,2.0766026252531447,,,,,1
1,They ,walk ,in ,the garden,180,90,female,,,Tuesday,Prisma,6.314956598449498,8.483615407079924,2.1686588086304255,,,,,2
2,We ,sit ,into ,the culture,180,90,female,,,Tuesday,Prisma,11.67949982691789,13.71946583042154,2.0399660035036504,,,,,3
3,We ,run ,into ,the garden,280,90,female,,,Tuesday,Prisma,16.92562656843802,18.87499462143751,1.949368052999489,,,,,4
4,We ,walk ,in ,the garden,140,90,female,,,Tuesday,Prisma,23.750417159637436,25.76659036008641,2.016173200448975,escape,26.87942182290135,3.1290046632639132,,5
5,You ,walk ,in ,the system,180,90,female,,,Tuesday,Prisma,,,,,,,,6
6,You ,jump ,in ,the culture,140,90,female,,,Tuesday,Prisma,,,,,,,,7
7,You ,lie ,into ,the system,280,90,female,,,Tuesday,Prisma,,,,,,,,8
8,You ,stand ,in ,the culture,280,90,female,,,Tuesday,Prisma,,,,,,,,9
9,You ,sit ,into ,the garden,140,90,female,,,Tuesday,Prisma,,,,,,,,10
10,They ,lie ,in ,the house,140,90,female,,,Tuesday,Prisma,,,,,,,,11
11,We ,jump ,into ,the garden,280,90,female,,,Tuesday,Prisma,,,,,,,,12
12,They ,lie ,into ,the garden,240,90,female,,,Tuesday,Prisma,,,,,,,,13
13,We ,jump ,in ,the culture,280,90,female,,,Tuesday,Prisma,,,,,,,,14
14,They ,run ,in ,the garden,280,90,female,,,Tuesday,Prisma,,,,,,,,15
15,You ,sit ,in ,the system,280,90,female,,,Tuesday,Prisma,,,,,,,,16
16,They ,walk ,in ,the house,280,90,female,,,Tuesday,Prisma,,,,,,,,17
17,You ,run ,in ,the garden,180,90,female,,,Tuesday,Prisma,,,,,,,,18
18,They ,jump ,into ,the culture,140,90,female,,,Tuesday,Prisma,,,,,,,,19
19,We ,sit ,in ,the garden,240,90,female,,,Tuesday,Prisma,,,,,,,,20
20,You ,run ,in ,the system,280,90,female,,,Tuesday,Prisma,,,,,,,,21
21,We ,lie ,in ,the garden,140,90,female,,,Tuesday,Prisma,,,,,,,,22
22,You ,sit ,into ,the house,280,90,female,,,Tuesday,Prisma,,,,,,,,23
23,We ,run ,into ,the house,280,90,female,,,Tuesday,Prisma,,,,,,,,24
24,They ,run ,in ,the system,240,90,female,,,Tuesday,Prisma,,,,,,,,25
25,We ,lie ,into ,the house,180,90,female,,,Tuesday,Prisma,,,,,,,,26
26,We ,stand ,in ,the culture,240,90,female,,,Tuesday,Prisma,,,,,,,,27
27,They ,lie ,in ,the system,280,90,female,,,Tuesday,Prisma,,,,,,,,28
28,They ,stand ,in ,the house,180,90,female,,,Tuesday,Prisma,,,,,,,,29
29,They ,lie ,into ,the house,240,90,female,,,Tuesday,Prisma,,,,,,,,30
30,You ,stand ,into ,the garden,280,90,female,,,Tuesday,Prisma,,,,,,,,31
31,We ,lie ,into ,the culture,140,90,female,,,Tuesday,Prisma,,,,,,,,32
32,We ,jump ,into ,the culture,140,90,female,,,Tuesday,Prisma,,,,,,,,33
33,You ,walk ,into ,the culture,140,90,female,,,Tuesday,Prisma,,,,,,,,34
34,You ,run ,into ,the culture,280,90,female,,,Tuesday,Prisma,,,,,,,,35
35,They ,run ,into ,the system,140,90,female,,,Tuesday,Prisma,,,,,,,,36
36,We ,jump ,in ,the garden,280,90,female,,,Tuesday,Prisma,,,,,,,,37
37,We ,lie ,in ,the house,180,90,female,,,Tuesday,Prisma,,,,,,,,38
38,We ,lie ,into ,the system,240,90,female,,,Tuesday,Prisma,,,,,,,,39
39,You ,jump ,into ,the garden,280,90,female,,,Tuesday,Prisma,,,,,,,,40
40,We ,lie ,in ,the culture,140,90,female,,,Tuesday,Prisma,,,,,,,,41
41,They ,walk ,into ,the system,280,90,female,,,Tuesday,Prisma,,,,,,,,42
42,They ,sit ,into ,the culture,240,90,female,,,Tuesday,Prisma,,,,,,,,43
43,They ,run ,into ,the house,140,90,female,,,Tuesday,Prisma,,,,,,,,44
44,We ,sit ,in ,the culture,240,90,female,,,Tuesday,Prisma,,,,,,,,45
45,We ,run ,in ,the system,180,90,female,,,Tuesday,Prisma,,,,,,,,46
46,They ,sit ,in ,the house,280,90,female,,,Tuesday,Prisma,,,,,,,,47
47,You ,stand ,in ,the system,180,90,female,,,Tuesday,Prisma,,,,,,,,48
48,We ,stand ,into ,the house,140,90,female,,,Tuesday,Prisma,,,,,,,,49
49,We ,run ,in ,the culture,240,90,female,,,Tuesday,Prisma,,,,,,,,50
50,You ,stand ,into ,the system,180,90,female,,,Tuesday,Prisma,,,,,,,,51
51,You ,run ,into ,the system,180,90,female,,,Tuesday,Prisma,,,,,,,,52
52,You ,lie ,in ,the culture,240,90,female,,,Tuesday,Prisma,,,,,,,,53
53,You ,walk ,in ,the house,140,90,female,,,Tuesday,Prisma,,,,,,,,54
54,They ,jump ,into ,the garden,280,90,female,,,Tuesday,Prisma,,,,,,,,55
55,They ,lie ,into ,the system,140,90,female,,,Tuesday,Prisma,,,,,,,,56
56,We ,lie ,into ,the garden,280,90,female,,,Tuesday,Prisma,,,,,,,,57
57,We ,run ,into ,the culture,240,90,female,,,Tuesday,Prisma,,,,,,,,58
58,We ,jump ,into ,the house,240,90,female,,,Tuesday,Prisma,,,,,,,,59
59,You ,walk ,into ,the garden,240,90,female,,,Tuesday,Prisma,,,,,,,,60
60,You ,walk ,into ,the house,280,90,female,,,Tuesday,Prisma,,,,,,,,61
61,We ,sit ,in ,the system,240,90,female,,,Tuesday,Prisma,,,,,,,,62
62,We ,walk ,in ,the house,180,90,female,,,Tuesday,Prisma,,,,,,,,63
63,They ,stand ,in ,the culture,180,90,female,,,Tuesday,Prisma,,,,,,,,64
64,We ,stand ,in ,the system,280,90,female,,,Tuesday,Prisma,,,,,,,,65
65,You ,jump ,in ,the garden,180,90,female,,,Tuesday,Prisma,,,,,,,,66
66,We ,sit ,into ,the house,140,90,female,,,Tuesday,Prisma,,,,,,,,67
67,They ,stand ,into ,the garden,180,90,female,,,Tuesday,Prisma,,,,,,,,68
68,We ,walk ,in ,the system,240,90,female,,,Tuesday,Prisma,,,,,,,,69
69,They ,stand ,in ,the garden,280,90,female,,,Tuesday,Prisma,,,,,,,,70
70,You ,lie ,into ,the house,180,90,female,,,Tuesday,Prisma,,,,,,,,71
71,You ,walk ,into ,the system,140,90,female,,,Tuesday,Prisma,,,,,,,,72
72,They ,jump ,into ,the house,180,90,female,,,Tuesday,Prisma,,,,,,,,73
73,We ,lie ,in ,the system,180,90,female,,,Tuesday,Prisma,,,,,,,,74
74,They ,stand ,into ,the house,280,90,female,,,Tuesday,Prisma,,,,,,,,75
75,They ,sit ,in ,the system,180,90,female,,,Tuesday,Prisma,,,,,,,,76
76,They ,jump ,in ,the house,240,90,female,,,Tuesday,Prisma,,,,,,,,77
77,They ,run ,into ,the culture,280,90,female,,,Tuesday,Prisma,,,,,,,,78
78,They ,walk ,into ,the culture,240,90,female,,,Tuesday,Prisma,,,,,,,,79
79,We ,run ,into ,the system,180,90,female,,,Tuesday,Prisma,,,,,,,,80
80,They ,jump ,in ,the culture,140,90,female,,,Tuesday,Prisma,,,,,,,,81
81,We ,sit ,into ,the garden,280,90,female,,,Tuesday,Prisma,,,,,,,,82
82,You ,sit ,in ,the culture,240,90,female,,,Tuesday,Prisma,,,,,,,,83
83,You ,lie ,in ,the house,240,90,female,,,Tuesday,Prisma,,,,,,,,84
84,They ,jump ,in ,the system,240,90,female,,,Tuesday,Prisma,,,,,,,,85
85,They ,jump ,in ,the garden,140,90,female,,,Tuesday,Prisma,,,,,,,,86
86,We ,jump ,into ,the system,140,90,female,,,Tuesday,Prisma,,,,,,,,87
87,They ,sit ,into ,the garden,240,90,female,,,Tuesday,Prisma,,,,,,,,88
88,You ,stand ,in ,the house,240,90,female,,,Tuesday,Prisma,,,,,,,,89
89,You ,jump ,in ,the house,180,90,female,,,Tuesday,Prisma,,,,,,,,90
90,You ,jump ,in ,the system,240,90,female,,,Tuesday,Prisma,,,,,,,,91
91,They ,run ,in ,the culture,280,90,female,,,Tuesday,Prisma,,,,,,,,92
92,They ,walk ,in ,the culture,180,90,female,,,Tuesday,Prisma,,,,,,,,93
93,They ,jump ,into ,the system,240,90,female,,,Tuesday,Prisma,,,,,,,,94
94,You ,lie ,in ,the system,140,90,female,,,Tuesday,Prisma,,,,,,,,95
